LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,QUARTER,TIME,GDP
USA,QGDP,VOLIDX,IDX,Q,2000,1,2000-Q1,74.38201488
USA,QGDP,VOLIDX,IDX,Q,2000,2,2000-Q2,75.7362012
USA,QGDP,VOLIDX,IDX,Q,2000,3,2000-Q3,75.81176634
USA,QGDP,VOLIDX,IDX,Q,2000,4,2000-Q4,76.26236248
USA,QGDP,VOLIDX,IDX,Q,2001,1,2001-Q1,76.01510388
USA,QGDP,VOLIDX,IDX,Q,2001,2,2001-Q2,76.48745354
USA,QGDP,VOLIDX,IDX,Q,2001,3,2001-Q3,76.18123677
USA,QGDP,VOLIDX,IDX,Q,2001,4,2001-Q4,76.39249828
USA,QGDP,VOLIDX,IDX,Q,2002,1,2002-Q1,77.02520174
USA,QGDP,VOLIDX,IDX,Q,2002,2,2002-Q2,77.49929375
USA,QGDP,VOLIDX,IDX,Q,2002,3,2002-Q3,77.81202565
USA,QGDP,VOLIDX,IDX,Q,2002,4,2002-Q4,77.91369155
USA,QGDP,VOLIDX,IDX,Q,2003,1,2003-Q1,78.31628966
USA,QGDP,VOLIDX,IDX,Q,2003,2,2003-Q2,79.01595
USA,QGDP,VOLIDX,IDX,Q,2003,3,2003-Q3,80.33306393
USA,QGDP,VOLIDX,IDX,Q,2003,4,2003-Q4,81.26014422
USA,QGDP,VOLIDX,IDX,Q,2004,1,2004-Q1,81.72569698
USA,QGDP,VOLIDX,IDX,Q,2004,2,2004-Q2,82.36212666
USA,QGDP,VOLIDX,IDX,Q,2004,3,2004-Q3,83.13735789
USA,QGDP,VOLIDX,IDX,Q,2004,4,2004-Q4,83.98704444
USA,QGDP,VOLIDX,IDX,Q,2005,1,2005-Q1,84.92004183
USA,QGDP,VOLIDX,IDX,Q,2005,2,2005-Q2,85.33326655
USA,QGDP,VOLIDX,IDX,Q,2005,3,2005-Q3,86.00366345
USA,QGDP,VOLIDX,IDX,Q,2005,4,2005-Q4,86.49210254
USA,QGDP,VOLIDX,IDX,Q,2006,1,2006-Q1,87.65859223
USA,QGDP,VOLIDX,IDX,Q,2006,2,2006-Q2,87.87386747
USA,QGDP,VOLIDX,IDX,Q,2006,3,2006-Q3,88.00607914
USA,QGDP,VOLIDX,IDX,Q,2006,4,2006-Q4,88.74859672
USA,QGDP,VOLIDX,IDX,Q,2007,1,2007-Q1,89.00916159
USA,QGDP,VOLIDX,IDX,Q,2007,2,2007-Q2,89.57742681
USA,QGDP,VOLIDX,IDX,Q,2007,3,2007-Q3,90.11695762
USA,QGDP,VOLIDX,IDX,Q,2007,4,2007-Q4,90.66635025
USA,QGDP,VOLIDX,IDX,Q,2008,1,2008-Q1,90.29694881
USA,QGDP,VOLIDX,IDX,Q,2008,2,2008-Q2,90.81371405
USA,QGDP,VOLIDX,IDX,Q,2008,3,2008-Q3,90.33522303
USA,QGDP,VOLIDX,IDX,Q,2008,4,2008-Q4,88.36311735
USA,QGDP,VOLIDX,IDX,Q,2009,1,2009-Q1,87.33304859
USA,QGDP,VOLIDX,IDX,Q,2009,2,2009-Q2,87.18524776
USA,QGDP,VOLIDX,IDX,Q,2009,3,2009-Q3,87.50079732
USA,QGDP,VOLIDX,IDX,Q,2009,4,2009-Q4,88.43527254
USA,QGDP,VOLIDX,IDX,Q,2010,1,2010-Q1,88.8774962
USA,QGDP,VOLIDX,IDX,Q,2010,2,2010-Q2,89.73756785
USA,QGDP,VOLIDX,IDX,Q,2010,3,2010-Q3,90.43136861
USA,QGDP,VOLIDX,IDX,Q,2010,4,2010-Q4,90.90124562
USA,QGDP,VOLIDX,IDX,Q,2011,1,2011-Q1,90.68224992
USA,QGDP,VOLIDX,IDX,Q,2011,2,2011-Q2,91.29712159
USA,QGDP,VOLIDX,IDX,Q,2011,3,2011-Q3,91.26172829
USA,QGDP,VOLIDX,IDX,Q,2011,4,2011-Q4,92.28539119
USA,QGDP,VOLIDX,IDX,Q,2012,1,2012-Q1,93.04021448
USA,QGDP,VOLIDX,IDX,Q,2012,2,2012-Q2,93.46434759
USA,QGDP,VOLIDX,IDX,Q,2012,3,2012-Q3,93.62780083
