LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,QUARTER,TIME,Inflation_rate
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,1,2000-Q1,3.257790368
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,2,2000-Q2,3.293834103
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,3,2000-Q3,3.468899522
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,4,2000-Q4,3.443498912
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,1,2001-Q1,3.409758965
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,2,2001-Q2,3.324907641
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,3,2001-Q3,2.67822736
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,4,2001-Q4,1.874880429
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,1,2002-Q1,1.23176047
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,2,2002-Q2,1.317275122
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,3,2002-Q3,1.576280728
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,4,2002-Q4,2.253521127
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,1,2003-Q1,2.976413328
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,2,2003-Q2,2.005943536
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,3,2003-Q3,2.216885276
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,4,2003-Q4,2.001836547
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,1,2004-Q1,1.8178513
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,2,2004-Q2,2.785870357
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,3,2004-Q3,2.674859931
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,4,2004-Q4,3.384947785
USA,CPIFORECAST,TOT,AGRWTH,Q,2005,1,2005-Q1,3.035172291
